ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,Shape_Leng,Shape_Area
"157",MWI,Malawi,"1964",Mangochi,"22837",Monkey Bay Urban,,,,,Urban,Urban,Unknown,Unknown,,0.22009602675,0.00111716624
"157",MWI,Malawi,"1964",Mangochi,"22838",SC Chowe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,2.13184180870,0.05280608438
"157",MWI,Malawi,"1964",Mangochi,"22839",SC Mbwana Nyambi,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.51328273010,0.06564998497
"157",MWI,Malawi,"1964",Mangochi,"22840",SC Namabvi,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.93794818206,0.03188048455
"157",MWI,Malawi,"1964",Mangochi,"22841",TA Chimwala,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.67519552087,0.07472365758
"157",MWI,Malawi,"1964",Mangochi,"22842",TA Jalasi,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.32079975311,0.04692741221
"157",MWI,Malawi,"1964",Mangochi,"22843",TA Katuli,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.91841822506,0.03666795214
"157",MWI,Malawi,"1964",Mangochi,"22844",TA Makanjila,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.59613718169,0.06021260776
"157",MWI,Malawi,"1964",Mangochi,"22845",TA Mponda,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.55395669404,0.06140035594
"157",MWI,Malawi,"1964",Mangochi,"22846",TA Nankumba,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,2.01309973103,0.09381310825
"157",MWI,Malawi,"1965",Mchinji,"22847",Mchinji Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.12820437517,0.00066500891
"157",MWI,Malawi,"1965",Mchinji,"22848",SC Dambe,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.91220068899,0.03538148648
"157",MWI,Malawi,"1965",Mchinji,"22849",SC Mavwere,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.53501017907,0.03902051205
"157",MWI,Malawi,"1965",Mchinji,"22850",SC Mduwa,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.22985918790,0.04790089628
"157",MWI,Malawi,"1965",Mchinji,"22851",TA Mkanda,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.44657666256,0.07795965896
"157",MWI,Malawi,"1965",Mchinji,"22852",TA Mlonyeni,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.41170401596,0.02242697159
"157",MWI,Malawi,"1965",Mchinji,"22853",TA Zulu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.27061965304,0.03916646557
"157",MWI,Malawi,"1966",Mulanje,"22854",Mulanje Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.17792303269,0.00105639093
"157",MWI,Malawi,"1966",Mulanje,"22855",Mulanje Mountain Forest Reserve,,,,,Reserve,Reserve,Unknown,Unknown,,1.12414193548,0.04039867905
"157",MWI,Malawi,"1966",Mulanje,"22856",SC Juma,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.14973011274,0.02854855936
"157",MWI,Malawi,"1966",Mulanje,"22857",SC Laston Njema,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.84300397682,0.01102092912
"157",MWI,Malawi,"1966",Mulanje,"22858",TA Chikumbu,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.63551542253,0.01259828990
"157",MWI,Malawi,"1966",Mulanje,"22859",TA Mabuka,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.53715181463,0.03498756467
"157",MWI,Malawi,"1966",Mulanje,"22860",TA Nkanda,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.00509436843,0.03045642791
"157",MWI,Malawi,"1966",Mulanje,"22861",TA Nthiramanja,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.56938220777,0.00943806774
"157",MWI,Malawi,"1967",Mwanza,"22862",Mwanza Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.16588669141,0.00114007299
"157",MWI,Malawi,"1967",Mwanza,"22863",TA Dambe,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.89267740084,0.02143647947
"157",MWI,Malawi,"1967",Mwanza,"22864",TA Kanduku,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.23204790702,0.02435251397
"157",MWI,Malawi,"1967",Mwanza,"22865",TA Mlauli,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.17615980448,0.04739002438
"157",MWI,Malawi,"1967",Mwanza,"22866",TA Ngozi,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,0.91358000562,0.02786255466
"157",MWI,Malawi,"1967",Mwanza,"22867",TA Nthache,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.04181462949,0.02462424823
"157",MWI,Malawi,"1967",Mwanza,"22868",TA Symon,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.08829770062,0.03486764138
"157",MWI,Malawi,"1968",Mzimba,"22869",Mzimba Boma,,,,,Boma,Headquarter,Unknown,Unknown,,0.11886772709,0.00089601920
"157",MWI,Malawi,"1968",Mzimba,"22870",Mzuzu City,,,,,City,City,Unknown,Unknown,,0.47231474341,0.01161850093
"157",MWI,Malawi,"1968",Mzimba,"22871",SC Jaravikuba Munthali,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,0.55866796994,0.01333829091
"157",MWI,Malawi,"1968",Mzimba,"22872",SC Kampingo Sibande,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,2.07613214421,0.08044733275
"157",MWI,Malawi,"1968",Mzimba,"22873",SC Khosolo Gwaza Jere,,,,,Sub-chief,Sub-chief,Unknown,Unknown,,1.78175829806,0.07805570474
"157",MWI,Malawi,"1968",Mzimba,"22874",TA Chindi,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.98076977646,0.14546002910
"157",MWI,Malawi,"1968",Mzimba,"22875",TA Mabulabo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.54394681188,0.06198375787
"157",MWI,Malawi,"1968",Mzimba,"22876",TA M'Mbelwa,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,2.16299667467,0.09518854846
"157",MWI,Malawi,"1968",Mzimba,"22877",TA Mpherembe,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.20122043363,0.05410571473
"157",MWI,Malawi,"1968",Mzimba,"22878",TA Mtwalo,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,2.71623885294,0.16253646038
"157",MWI,Malawi,"1968",Mzimba,"22879",TA Mzikubola,,,,,Traditional Authority,Traditional Authority,Unknown,Unknown,,1.74637606467,0.12027102621
