"Year","District","School","Long","Lat","Test","Age","Shprev","Smanprev","anySCHprev"
2017,"THYOLO","Mathiya F.P.",35.19527896,-16.36787616,"KK/UF","1013",0.1,0.0333333333333333,0.133333333333333
2017,"THYOLO","Mikate School",35.31426196,-16.12185506,"KK/UF","1014",0,0.275862068965517,0.275862068965517
2017,"THYOLO","Mira Breeze Pvt",35.0154,-16.00564,"KK/UF","1011",0,0,0
2017,"THYOLO","Mpasa Pvt",35.11316,-15.94597,"KK/UF","1013",0.0333333333333333,0,0.0333333333333333
2017,"THYOLO","Nakambwe School",35.15656562,-16.04033341,"KK/UF","1014",0,0,0
2017,"THYOLO","Namaona School",35.09769056,-15.97748781,"KK/UF","1014",0.166666666666667,0,0.166666666666667
2017,"THYOLO","Nandolo School",35.23507019,-16.18585798,"KK/UF","1014",0.0333333333333333,0.0434782608695652,0.0666666666666667
2017,"THYOLO","Nthulo School",35.19642869,-16.00670809,"KK/UF","1014",0,0,0
2017,"THYOLO","Sambambidzi School",35.4196,-16.1557,"KK/UF","0814",0.2,0,0.2
2017,"THYOLO","Sambani",35.22887258,-16.3097536,"KK/UF","1014",0.2,0,0.2
2017,"THYOLO","Tsukamayere School",35.11201127,-16.26547974,"KK/UF","1014",0.166666666666667,0.0357142857142857,0.166666666666667
2018,"balaka","bvumo",35.02131103,-14.90433665,"KK/UF","1014",0,0,0
2018,"balaka","chidalala",34.97220987,-15.02661075,"KK/UF","1014",0.0333333333333333,0,0.0333333333333333
2018,"balaka","chigumula",35.0677063,-14.9974329,"KK/UF","1013",0,0,0
2018,"balaka","chilanga",35.1842756,-14.9689336,"KK/UF","1014",0.0333333333333333,0.0333333333333333,0.0666666666666667
